[15:14:34] src/nnvm/legacy_json_util.cc:190: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[15:14:34] src/nnvm/legacy_json_util.cc:198: Symbol successfully upgraded!
note: caffe model don't have 'flatten0', but 'flatten_0'
2017-07-21 15:16:40,323 Epoch[4] Train-accuracy=0.908333
2017-07-21 15:16:40,324 Epoch[4] Time cost=6.137
2017-07-21 15:16:40,464 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0005.params"
2017-07-21 15:16:41,581 Epoch[4] Validation-accuracy=0.909722
2017-07-21 15:16:43,003 Epoch[5] Batch [10]	Speed: 356.54 samples/sec	Train-accuracy=0.920455
2017-07-21 15:16:44,346 Epoch[5] Batch [20]	Speed: 357.38 samples/sec	Train-accuracy=0.897917
2017-07-21 15:16:45,689 Epoch[5] Batch [30]	Speed: 357.60 samples/sec	Train-accuracy=0.912500
2017-07-21 15:16:47,030 Epoch[5] Batch [40]	Speed: 357.90 samples/sec	Train-accuracy=0.912500
2017-07-21 15:16:47,566 Epoch[5] Train-accuracy=0.906250
2017-07-21 15:16:47,566 Epoch[5] Time cost=5.985
2017-07-21 15:16:47,691 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0006.params"
2017-07-21 15:16:47,865 Epoch[5] Validation-accuracy=0.927083
2017-07-21 15:16:49,290 Epoch[6] Batch [10]	Speed: 357.02 samples/sec	Train-accuracy=0.918561
2017-07-21 15:16:50,634 Epoch[6] Batch [20]	Speed: 357.21 samples/sec	Train-accuracy=0.916667
2017-07-21 15:16:51,977 Epoch[6] Batch [30]	Speed: 357.53 samples/sec	Train-accuracy=0.912500
2017-07-21 15:16:53,321 Epoch[6] Batch [40]	Speed: 357.41 samples/sec	Train-accuracy=0.941667
2017-07-21 15:16:53,858 Epoch[6] Train-accuracy=0.916667
2017-07-21 15:16:53,858 Epoch[6] Time cost=5.992
2017-07-21 15:16:53,979 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0007.params"
2017-07-21 15:16:54,175 Epoch[6] Validation-accuracy=0.916667
2017-07-21 15:16:55,599 Epoch[7] Batch [10]	Speed: 357.18 samples/sec	Train-accuracy=0.899621
2017-07-21 15:16:56,945 Epoch[7] Batch [20]	Speed: 356.75 samples/sec	Train-accuracy=0.889583
2017-07-21 15:16:58,287 Epoch[7] Batch [30]	Speed: 357.57 samples/sec	Train-accuracy=0.920833
2017-07-21 15:16:59,629 Epoch[7] Batch [40]	Speed: 358.01 samples/sec	Train-accuracy=0.922917
2017-07-21 15:17:00,299 Epoch[7] Train-accuracy=0.929167
2017-07-21 15:17:00,299 Epoch[7] Time cost=6.124
2017-07-21 15:17:00,422 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0008.params"
2017-07-21 15:17:00,623 Epoch[7] Validation-accuracy=0.916667
2017-07-21 15:17:02,078 Epoch[8] Batch [10]	Speed: 354.80 samples/sec	Train-accuracy=0.939394
2017-07-21 15:17:03,429 Epoch[8] Batch [20]	Speed: 355.52 samples/sec	Train-accuracy=0.939583
2017-07-21 15:17:04,774 Epoch[8] Batch [30]	Speed: 356.75 samples/sec	Train-accuracy=0.945833
2017-07-21 15:17:06,122 Epoch[8] Batch [40]	Speed: 356.27 samples/sec	Train-accuracy=0.931250
2017-07-21 15:17:06,661 Epoch[8] Train-accuracy=0.921875
2017-07-21 15:17:06,661 Epoch[8] Time cost=6.038
2017-07-21 15:17:06,811 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0009.params"
2017-07-21 15:17:07,012 Epoch[8] Validation-accuracy=0.916667
2017-07-21 15:17:08,447 Epoch[9] Batch [10]	Speed: 354.46 samples/sec	Train-accuracy=0.929924
2017-07-21 15:17:09,801 Epoch[9] Batch [20]	Speed: 354.61 samples/sec	Train-accuracy=0.916667
2017-07-21 15:17:11,150 Epoch[9] Batch [30]	Speed: 355.79 samples/sec	Train-accuracy=0.952083
2017-07-21 15:17:12,504 Epoch[9] Batch [40]	Speed: 354.75 samples/sec	Train-accuracy=0.939583
2017-07-21 15:17:13,179 Epoch[9] Train-accuracy=0.933333
2017-07-21 15:17:13,179 Epoch[9] Time cost=6.167
2017-07-21 15:17:13,306 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0010.params"
2017-07-21 15:17:13,520 Epoch[9] Validation-accuracy=0.937500
2017-07-21 15:17:14,954 Epoch[10] Batch [10]	Speed: 354.94 samples/sec	Train-accuracy=0.916667
2017-07-21 15:17:16,311 Epoch[10] Batch [20]	Speed: 353.97 samples/sec	Train-accuracy=0.900000
2017-07-21 15:17:17,664 Epoch[10] Batch [30]	Speed: 354.80 samples/sec	Train-accuracy=0.935417
2017-07-21 15:17:19,016 Epoch[10] Batch [40]	Speed: 354.92 samples/sec	Train-accuracy=0.945833
2017-07-21 15:17:19,558 Epoch[10] Train-accuracy=0.901042
2017-07-21 15:17:19,559 Epoch[10] Time cost=6.039
2017-07-21 15:17:19,685 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0011.params"
2017-07-21 15:17:19,862 Epoch[10] Validation-accuracy=0.947917
2017-07-21 15:17:21,301 Epoch[11] Batch [10]	Speed: 354.26 samples/sec	Train-accuracy=0.937500
2017-07-21 15:17:22,655 Epoch[11] Batch [20]	Speed: 354.75 samples/sec	Train-accuracy=0.947917
2017-07-21 15:17:24,008 Epoch[11] Batch [30]	Speed: 354.67 samples/sec	Train-accuracy=0.945833
2017-07-21 15:17:25,362 Epoch[11] Batch [40]	Speed: 354.60 samples/sec	Train-accuracy=0.970833
2017-07-21 15:17:25,904 Epoch[11] Train-accuracy=0.953125
2017-07-21 15:17:25,904 Epoch[11] Time cost=6.041
2017-07-21 15:17:26,023 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0012.params"
2017-07-21 15:17:26,247 Epoch[11] Validation-accuracy=0.951389
2017-07-21 15:17:27,839 Epoch[12] Batch [10]	Speed: 354.54 samples/sec	Train-accuracy=0.958333
2017-07-21 15:17:29,194 Epoch[12] Batch [20]	Speed: 354.40 samples/sec	Train-accuracy=0.920833
2017-07-21 15:17:30,547 Epoch[12] Batch [30]	Speed: 354.81 samples/sec	Train-accuracy=0.937500
2017-07-21 15:17:31,899 Epoch[12] Batch [40]	Speed: 355.29 samples/sec	Train-accuracy=0.960417
2017-07-21 15:17:32,575 Epoch[12] Train-accuracy=0.941667
2017-07-21 15:17:32,575 Epoch[12] Time cost=6.328
2017-07-21 15:17:32,695 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0013.params"
2017-07-21 15:17:32,882 Epoch[12] Validation-accuracy=0.947917
2017-07-21 15:17:34,332 Epoch[13] Batch [10]	Speed: 352.75 samples/sec	Train-accuracy=0.964015
2017-07-21 15:17:35,684 Epoch[13] Batch [20]	Speed: 355.31 samples/sec	Train-accuracy=0.962500
2017-07-21 15:17:37,037 Epoch[13] Batch [30]	Speed: 354.74 samples/sec	Train-accuracy=0.970833
2017-07-21 15:17:38,386 Epoch[13] Batch [40]	Speed: 355.80 samples/sec	Train-accuracy=0.966667
2017-07-21 15:17:38,927 Epoch[13] Train-accuracy=0.958333
2017-07-21 15:17:38,927 Epoch[13] Time cost=6.045
2017-07-21 15:17:39,079 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0014.params"
2017-07-21 15:17:39,252 Epoch[13] Validation-accuracy=0.947917
2017-07-21 15:17:40,687 Epoch[14] Batch [10]	Speed: 354.55 samples/sec	Train-accuracy=0.954545
2017-07-21 15:17:42,040 Epoch[14] Batch [20]	Speed: 354.67 samples/sec	Train-accuracy=0.960417
2017-07-21 15:17:43,396 Epoch[14] Batch [30]	Speed: 354.25 samples/sec	Train-accuracy=0.925000
2017-07-21 15:17:44,750 Epoch[14] Batch [40]	Speed: 354.46 samples/sec	Train-accuracy=0.956250
2017-07-21 15:17:45,426 Epoch[14] Train-accuracy=0.945833
2017-07-21 15:17:45,426 Epoch[14] Time cost=6.173
2017-07-21 15:17:45,543 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0015.params"
2017-07-21 15:17:45,739 Epoch[14] Validation-accuracy=0.930556
2017-07-21 15:17:47,169 Epoch[15] Batch [10]	Speed: 354.82 samples/sec	Train-accuracy=0.952652
2017-07-21 15:17:48,523 Epoch[15] Batch [20]	Speed: 354.67 samples/sec	Train-accuracy=0.968750
2017-07-21 15:17:49,874 Epoch[15] Batch [30]	Speed: 355.16 samples/sec	Train-accuracy=0.966667
2017-07-21 15:17:51,226 Epoch[15] Batch [40]	Speed: 355.26 samples/sec	Train-accuracy=0.970833
2017-07-21 15:17:51,767 Epoch[15] Train-accuracy=0.927083
2017-07-21 15:17:51,767 Epoch[15] Time cost=6.028
2017-07-21 15:17:51,896 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0016.params"
2017-07-21 15:17:52,078 Epoch[15] Validation-accuracy=0.947917
2017-07-21 15:17:53,511 Epoch[16] Batch [10]	Speed: 355.22 samples/sec	Train-accuracy=0.956439
2017-07-21 15:17:54,864 Epoch[16] Batch [20]	Speed: 355.00 samples/sec	Train-accuracy=0.958333
2017-07-21 15:17:56,218 Epoch[16] Batch [30]	Speed: 354.59 samples/sec	Train-accuracy=0.966667
2017-07-21 15:17:57,573 Epoch[16] Batch [40]	Speed: 354.13 samples/sec	Train-accuracy=0.983333
2017-07-21 15:17:58,248 Epoch[16] Train-accuracy=0.966667
2017-07-21 15:17:58,248 Epoch[16] Time cost=6.170
2017-07-21 15:17:58,360 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0017.params"
2017-07-21 15:17:58,559 Epoch[16] Validation-accuracy=0.937500
2017-07-21 15:17:59,997 Epoch[17] Batch [10]	Speed: 354.19 samples/sec	Train-accuracy=0.971591
2017-07-21 15:18:01,351 Epoch[17] Batch [20]	Speed: 354.70 samples/sec	Train-accuracy=0.968750
2017-07-21 15:18:02,704 Epoch[17] Batch [30]	Speed: 354.87 samples/sec	Train-accuracy=0.979167
2017-07-21 15:18:04,055 Epoch[17] Batch [40]	Speed: 355.44 samples/sec	Train-accuracy=0.962500
2017-07-21 15:18:04,595 Epoch[17] Train-accuracy=0.953125
2017-07-21 15:18:04,595 Epoch[17] Time cost=6.035
2017-07-21 15:18:04,715 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0018.params"
2017-07-21 15:18:04,913 Epoch[17] Validation-accuracy=0.958333
2017-07-21 15:18:06,350 Epoch[18] Batch [10]	Speed: 354.30 samples/sec	Train-accuracy=0.962121
2017-07-21 15:18:07,706 Epoch[18] Batch [20]	Speed: 354.17 samples/sec	Train-accuracy=0.966667
2017-07-21 15:18:09,059 Epoch[18] Batch [30]	Speed: 354.88 samples/sec	Train-accuracy=0.950000
2017-07-21 15:18:10,410 Epoch[18] Batch [40]	Speed: 355.18 samples/sec	Train-accuracy=0.968750
2017-07-21 15:18:10,952 Epoch[18] Train-accuracy=0.963542
2017-07-21 15:18:10,953 Epoch[18] Time cost=6.039
2017-07-21 15:18:11,076 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0019.params"
2017-07-21 15:18:11,259 Epoch[18] Validation-accuracy=0.927083
2017-07-21 15:18:12,693 Epoch[19] Batch [10]	Speed: 354.79 samples/sec	Train-accuracy=0.965909
2017-07-21 15:18:14,051 Epoch[19] Batch [20]	Speed: 353.61 samples/sec	Train-accuracy=0.977083
2017-07-21 15:18:15,402 Epoch[19] Batch [30]	Speed: 355.35 samples/sec	Train-accuracy=0.962500
2017-07-21 15:18:16,752 Epoch[19] Batch [40]	Speed: 355.65 samples/sec	Train-accuracy=0.970833
2017-07-21 15:18:17,428 Epoch[19] Train-accuracy=0.950000
2017-07-21 15:18:17,428 Epoch[19] Time cost=6.170
2017-07-21 15:18:17,572 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0020.params"
2017-07-21 15:18:17,782 Epoch[19] Validation-accuracy=0.951389
2017-07-21 15:18:19,218 Epoch[20] Batch [10]	Speed: 354.89 samples/sec	Train-accuracy=0.964015
2017-07-21 15:18:20,572 Epoch[20] Batch [20]	Speed: 354.58 samples/sec	Train-accuracy=0.966667
2017-07-21 15:18:21,925 Epoch[20] Batch [30]	Speed: 354.90 samples/sec	Train-accuracy=0.977083
2017-07-21 15:18:23,275 Epoch[20] Batch [40]	Speed: 355.62 samples/sec	Train-accuracy=0.975000
2017-07-21 15:18:23,816 Epoch[20] Train-accuracy=0.953125
2017-07-21 15:18:23,816 Epoch[20] Time cost=6.033
2017-07-21 15:18:23,930 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0021.params"
2017-07-21 15:18:24,099 Epoch[20] Validation-accuracy=0.958333
2017-07-21 15:18:25,533 Epoch[21] Batch [10]	Speed: 355.02 samples/sec	Train-accuracy=0.956439
2017-07-21 15:18:26,886 Epoch[21] Batch [20]	Speed: 354.69 samples/sec	Train-accuracy=0.975000
2017-07-21 15:18:28,242 Epoch[21] Batch [30]	Speed: 354.31 samples/sec	Train-accuracy=0.977083
2017-07-21 15:18:29,595 Epoch[21] Batch [40]	Speed: 354.84 samples/sec	Train-accuracy=0.977083
2017-07-21 15:18:30,270 Epoch[21] Train-accuracy=0.970833
2017-07-21 15:18:30,270 Epoch[21] Time cost=6.171
2017-07-21 15:18:30,393 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0022.params"
2017-07-21 15:18:30,590 Epoch[21] Validation-accuracy=0.944444
2017-07-21 15:18:32,029 Epoch[22] Batch [10]	Speed: 354.30 samples/sec	Train-accuracy=0.979167
2017-07-21 15:18:33,380 Epoch[22] Batch [20]	Speed: 355.33 samples/sec	Train-accuracy=0.975000
2017-07-21 15:18:34,733 Epoch[22] Batch [30]	Speed: 354.82 samples/sec	Train-accuracy=0.981250
2017-07-21 15:18:36,082 Epoch[22] Batch [40]	Speed: 355.92 samples/sec	Train-accuracy=0.975000
2017-07-21 15:18:36,621 Epoch[22] Train-accuracy=0.947917
2017-07-21 15:18:36,621 Epoch[22] Time cost=6.030
2017-07-21 15:18:36,746 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0023.params"
2017-07-21 15:18:36,915 Epoch[22] Validation-accuracy=0.968750
2017-07-21 15:18:38,347 Epoch[23] Batch [10]	Speed: 355.06 samples/sec	Train-accuracy=0.975379
2017-07-21 15:18:39,700 Epoch[23] Batch [20]	Speed: 354.66 samples/sec	Train-accuracy=0.972917
2017-07-21 15:18:41,053 Epoch[23] Batch [30]	Speed: 354.89 samples/sec	Train-accuracy=0.983333
2017-07-21 15:18:42,405 Epoch[23] Batch [40]	Speed: 355.23 samples/sec	Train-accuracy=0.983333
2017-07-21 15:18:42,943 Epoch[23] Train-accuracy=0.973958
2017-07-21 15:18:42,944 Epoch[23] Time cost=6.028
2017-07-21 15:18:43,068 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0024.params"
2017-07-21 15:18:43,245 Epoch[23] Validation-accuracy=0.937500
2017-07-21 15:18:44,850 Epoch[24] Batch [10]	Speed: 354.78 samples/sec	Train-accuracy=0.973485
2017-07-21 15:18:46,204 Epoch[24] Batch [20]	Speed: 354.75 samples/sec	Train-accuracy=0.970833
2017-07-21 15:18:47,556 Epoch[24] Batch [30]	Speed: 355.17 samples/sec	Train-accuracy=0.962500
2017-07-21 15:18:48,906 Epoch[24] Batch [40]	Speed: 355.42 samples/sec	Train-accuracy=0.985417
2017-07-21 15:18:49,581 Epoch[24] Train-accuracy=0.958333
2017-07-21 15:18:49,581 Epoch[24] Time cost=6.336
2017-07-21 15:18:49,711 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0025.params"
2017-07-21 15:18:49,917 Epoch[24] Validation-accuracy=0.937500
2017-07-21 15:18:51,353 Epoch[25] Batch [10]	Speed: 354.29 samples/sec	Train-accuracy=0.975379
2017-07-21 15:18:52,710 Epoch[25] Batch [20]	Speed: 353.85 samples/sec	Train-accuracy=0.977083
2017-07-21 15:18:54,060 Epoch[25] Batch [30]	Speed: 355.48 samples/sec	Train-accuracy=0.972917
2017-07-21 15:18:55,410 Epoch[25] Batch [40]	Speed: 355.60 samples/sec	Train-accuracy=0.981250
2017-07-21 15:18:55,950 Epoch[25] Train-accuracy=0.953125
2017-07-21 15:18:55,950 Epoch[25] Time cost=6.034
2017-07-21 15:18:56,070 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0026.params"
2017-07-21 15:18:56,247 Epoch[25] Validation-accuracy=0.979167
2017-07-21 15:18:57,691 Epoch[26] Batch [10]	Speed: 355.11 samples/sec	Train-accuracy=0.973485
2017-07-21 15:18:59,044 Epoch[26] Batch [20]	Speed: 354.87 samples/sec	Train-accuracy=0.970833
2017-07-21 15:19:00,397 Epoch[26] Batch [30]	Speed: 354.91 samples/sec	Train-accuracy=0.983333
2017-07-21 15:19:01,750 Epoch[26] Batch [40]	Speed: 354.95 samples/sec	Train-accuracy=0.975000
2017-07-21 15:19:02,426 Epoch[26] Train-accuracy=0.945833
2017-07-21 15:19:02,426 Epoch[26] Time cost=6.178
2017-07-21 15:19:02,545 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0027.params"
2017-07-21 15:19:02,748 Epoch[26] Validation-accuracy=0.923611
2017-07-21 15:19:04,191 Epoch[27] Batch [10]	Speed: 355.10 samples/sec	Train-accuracy=0.973485
2017-07-21 15:19:05,545 Epoch[27] Batch [20]	Speed: 354.68 samples/sec	Train-accuracy=0.970833
2017-07-21 15:19:06,899 Epoch[27] Batch [30]	Speed: 354.49 samples/sec	Train-accuracy=0.987500
2017-07-21 15:19:08,250 Epoch[27] Batch [40]	Speed: 355.30 samples/sec	Train-accuracy=0.983333
2017-07-21 15:19:08,790 Epoch[27] Train-accuracy=0.947917
2017-07-21 15:19:08,790 Epoch[27] Time cost=6.041
2017-07-21 15:19:08,910 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0028.params"
2017-07-21 15:19:09,088 Epoch[27] Validation-accuracy=0.947917
2017-07-21 15:19:10,538 Epoch[28] Batch [10]	Speed: 354.51 samples/sec	Train-accuracy=0.981061
2017-07-21 15:19:11,892 Epoch[28] Batch [20]	Speed: 354.69 samples/sec	Train-accuracy=0.960417
2017-07-21 15:19:13,246 Epoch[28] Batch [30]	Speed: 354.62 samples/sec	Train-accuracy=0.983333
2017-07-21 15:19:14,597 Epoch[28] Batch [40]	Speed: 355.42 samples/sec	Train-accuracy=0.987500
2017-07-21 15:19:15,274 Epoch[28] Train-accuracy=0.975000
2017-07-21 15:19:15,274 Epoch[28] Time cost=6.186
2017-07-21 15:19:15,393 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0029.params"
2017-07-21 15:19:15,583 Epoch[28] Validation-accuracy=0.968750
2017-07-21 15:19:17,018 Epoch[29] Batch [10]	Speed: 354.56 samples/sec	Train-accuracy=0.990530
2017-07-21 15:19:18,369 Epoch[29] Batch [20]	Speed: 355.39 samples/sec	Train-accuracy=0.989583
2017-07-21 15:19:19,723 Epoch[29] Batch [30]	Speed: 354.64 samples/sec	Train-accuracy=0.989583
2017-07-21 15:19:21,073 Epoch[29] Batch [40]	Speed: 355.52 samples/sec	Train-accuracy=0.991667
2017-07-21 15:19:21,614 Epoch[29] Train-accuracy=0.973958
2017-07-21 15:19:21,614 Epoch[29] Time cost=6.031
2017-07-21 15:19:21,742 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0030.params"
2017-07-21 15:19:21,935 Epoch[29] Validation-accuracy=0.937500
2017-07-21 15:19:23,368 Epoch[30] Batch [10]	Speed: 354.82 samples/sec	Train-accuracy=0.981061
2017-07-21 15:19:24,723 Epoch[30] Batch [20]	Speed: 354.35 samples/sec	Train-accuracy=0.975000
2017-07-21 15:19:26,076 Epoch[30] Batch [30]	Speed: 354.99 samples/sec	Train-accuracy=0.972917
2017-07-21 15:19:27,430 Epoch[30] Batch [40]	Speed: 354.39 samples/sec	Train-accuracy=0.983333
2017-07-21 15:19:27,971 Epoch[30] Train-accuracy=0.947917
2017-07-21 15:19:27,971 Epoch[30] Time cost=6.036
2017-07-21 15:19:28,105 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0031.params"
2017-07-21 15:19:28,279 Epoch[30] Validation-accuracy=0.947917
2017-07-21 15:19:29,710 Epoch[31] Batch [10]	Speed: 355.96 samples/sec	Train-accuracy=0.982955
2017-07-21 15:19:31,055 Epoch[31] Batch [20]	Speed: 356.79 samples/sec	Train-accuracy=0.987500
2017-07-21 15:19:32,404 Epoch[31] Batch [30]	Speed: 355.90 samples/sec	Train-accuracy=0.981250
2017-07-21 15:19:33,749 Epoch[31] Batch [40]	Speed: 357.07 samples/sec	Train-accuracy=0.979167
2017-07-21 15:19:34,421 Epoch[31] Train-accuracy=0.958333
2017-07-21 15:19:34,421 Epoch[31] Time cost=6.141
2017-07-21 15:19:34,542 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0032.params"
2017-07-21 15:19:34,740 Epoch[31] Validation-accuracy=0.937500
2017-07-21 15:19:36,174 Epoch[32] Batch [10]	Speed: 354.49 samples/sec	Train-accuracy=0.971591
2017-07-21 15:19:37,528 Epoch[32] Batch [20]	Speed: 354.68 samples/sec	Train-accuracy=0.981250
2017-07-21 15:19:38,880 Epoch[32] Batch [30]	Speed: 354.99 samples/sec	Train-accuracy=0.979167
2017-07-21 15:19:40,232 Epoch[32] Batch [40]	Speed: 355.19 samples/sec	Train-accuracy=0.989583
2017-07-21 15:19:40,773 Epoch[32] Train-accuracy=0.979167
2017-07-21 15:19:40,774 Epoch[32] Time cost=6.033
2017-07-21 15:19:40,885 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0033.params"
2017-07-21 15:19:41,056 Epoch[32] Validation-accuracy=0.947917
2017-07-21 15:19:42,496 Epoch[33] Batch [10]	Speed: 354.57 samples/sec	Train-accuracy=0.977273
2017-07-21 15:19:43,853 Epoch[33] Batch [20]	Speed: 353.83 samples/sec	Train-accuracy=0.985417
2017-07-21 15:19:45,204 Epoch[33] Batch [30]	Speed: 355.40 samples/sec	Train-accuracy=0.983333
2017-07-21 15:19:46,553 Epoch[33] Batch [40]	Speed: 355.80 samples/sec	Train-accuracy=0.987500
2017-07-21 15:19:47,229 Epoch[33] Train-accuracy=0.983333
2017-07-21 15:19:47,229 Epoch[33] Time cost=6.173
2017-07-21 15:19:47,347 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0034.params"
2017-07-21 15:19:47,528 Epoch[33] Validation-accuracy=0.937500
2017-07-21 15:19:48,969 Epoch[34] Batch [10]	Speed: 353.95 samples/sec	Train-accuracy=0.979167
2017-07-21 15:19:50,322 Epoch[34] Batch [20]	Speed: 354.69 samples/sec	Train-accuracy=0.977083
